epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,712.473,0.94679,1.26798,0.77701,0.92636,0.66667,0.70297,0.69944,0.58064,0.66483,0.70191,0.69956,0.53928,0.86669,1.16643,0.79989,0.92247,0.000473064,0.000473064,0.000473064
31,736.827,0.94087,1.25195,0.77462,0.92683,0.65429,0.67262,0.68821,0.57034,0.66513,0.66131,0.68675,0.53855,0.88761,1.12558,0.79507,0.92664,0.000451066,0.000451066,0.000451066
32,760.834,0.93075,1.24015,0.7606,0.92342,0.72104,0.65901,0.72019,0.59845,0.72329,0.66754,0.72904,0.56178,0.8919,1.10556,0.80722,0.93315,0.000429068,0.000429068,0.000429068
33,785.141,0.91825,1.24271,0.75905,0.9202,0.66574,0.69446,0.71286,0.58856,0.66712,0.69448,0.71305,0.55016,0.87889,1.13476,0.81436,0.92325,0.00040707,0.00040707,0.00040707
34,808.343,0.93274,1.24431,0.74908,0.91886,0.67102,0.67483,0.69416,0.57725,0.67215,0.67567,0.69716,0.539,0.90746,1.16548,0.80243,0.93051,0.000385073,0.000385073,0.000385073
35,832.264,0.91363,1.21129,0.73992,0.91838,0.64955,0.69872,0.71293,0.59103,0.64747,0.69666,0.71167,0.55338,0.88692,1.13317,0.78491,0.92843,0.000363075,0.000363075,0.000363075
36,856.008,0.90559,1.20651,0.73001,0.91429,0.61278,0.70749,0.68624,0.56602,0.61125,0.70583,0.6856,0.52769,0.87186,1.12284,0.81249,0.92546,0.000341077,0.000341077,0.000341077
37,880.473,0.90311,1.20576,0.72615,0.91246,0.67689,0.69863,0.71192,0.58726,0.68761,0.69167,0.71346,0.55694,0.86689,1.09082,0.77588,0.91492,0.000319079,0.000319079,0.000319079
38,904.238,0.90414,1.18719,0.71547,0.91264,0.74007,0.65816,0.72458,0.59706,0.71719,0.64897,0.7203,0.56727,0.8907,1.112,0.76268,0.92547,0.000297081,0.000297081,0.000297081
39,927.961,0.89671,1.19564,0.71125,0.90933,0.62748,0.70181,0.69862,0.57997,0.61801,0.69243,0.69611,0.53986,0.84951,1.07925,0.73835,0.91156,0.000275084,0.000275084,0.000275084
40,952.391,0.89687,1.17324,0.69377,0.91039,0.66794,0.70635,0.70316,0.58702,0.66986,0.7084,0.70364,0.55077,0.85329,1.1074,0.75861,0.92354,0.000253086,0.000253086,0.000253086
41,982.643,0.93207,1.2352,0.66314,0.91548,0.71161,0.6749,0.71286,0.58926,0.71254,0.6739,0.71228,0.54774,0.86878,1.11979,0.75436,0.92499,0.000231088,0.000231088,0.000231088
42,1006.58,0.91144,1.22448,0.64019,0.90605,0.67059,0.71011,0.71673,0.59127,0.65811,0.71819,0.71356,0.55545,0.88938,1.10716,0.74831,0.92582,0.00020909,0.00020909,0.00020909
43,1031.01,0.91107,1.21377,0.63308,0.90958,0.66887,0.70966,0.70762,0.5901,0.66727,0.70638,0.70573,0.55374,0.85751,1.10199,0.73106,0.91417,0.000187092,0.000187092,0.000187092
44,1054.9,0.89945,1.202,0.6184,0.90466,0.7415,0.68906,0.73428,0.60293,0.73994,0.69371,0.73583,0.55942,0.87585,1.1173,0.73969,0.92857,0.000165095,0.000165095,0.000165095
45,1079.36,0.89492,1.18518,0.60526,0.90263,0.76201,0.63646,0.72284,0.59956,0.76028,0.63865,0.72446,0.56587,0.86364,1.11859,0.72544,0.92125,0.000143097,0.000143097,0.000143097
46,1103.77,0.88561,1.17411,0.60404,0.902,0.71236,0.67002,0.71641,0.6011,0.73623,0.64638,0.71608,0.55635,0.86053,1.12373,0.71208,0.92317,0.000121099,0.000121099,0.000121099
47,1127.44,0.8829,1.17657,0.58792,0.90056,0.75987,0.65678,0.71102,0.59067,0.7598,0.65688,0.71081,0.55527,0.86199,1.12459,0.72236,0.92234,9.91012e-05,9.91012e-05,9.91012e-05
48,1150.76,0.88414,1.17308,0.58339,0.90196,0.73504,0.66673,0.72413,0.59838,0.73474,0.66646,0.72327,0.56163,0.86627,1.13182,0.73697,0.92288,7.71034e-05,7.71034e-05,7.71034e-05
49,1174.5,0.8767,1.15854,0.57186,0.9007,0.777,0.67086,0.7213,0.59946,0.77567,0.66978,0.72046,0.55871,0.85508,1.11521,0.71104,0.91845,5.51056e-05,5.51056e-05,5.51056e-05
50,1198.5,0.87255,1.15247,0.56632,0.89535,0.77396,0.65192,0.71978,0.59537,0.77563,0.65135,0.71868,0.55754,0.85757,1.12741,0.7263,0.91982,3.31078e-05,3.31078e-05,3.31078e-05
