epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,740.961,1.15694,1.47596,1.0285,1.01845,0.82347,0.59427,0.66789,0.50499,0.82111,0.5928,0.66331,0.4936,1.08723,1.31515,1.00544,1.03982,0.009043,0.009043,0.009043
31,763.641,1.13999,1.44508,1.02959,1.00725,0.52719,0.6416,0.65239,0.49738,0.52772,0.64175,0.65411,0.5033,1.05456,1.2792,1.00417,1.02854,0.00901,0.00901,0.00901
32,786.687,1.12803,1.44492,1.00651,1.00447,0.80138,0.5834,0.64095,0.47808,0.79121,0.59468,0.63871,0.47536,1.09063,1.30746,1.0022,1.0398,0.008977,0.008977,0.008977
33,810.23,1.13649,1.42343,1.02315,1.01061,0.81133,0.58949,0.66418,0.5154,0.80993,0.58794,0.66287,0.5152,1.04623,1.24075,0.93915,1.02369,0.008944,0.008944,0.008944
34,834.059,1.13542,1.43267,0.99937,1.00846,0.57203,0.71353,0.68173,0.51581,0.56941,0.71048,0.68023,0.51594,1.0573,1.25661,0.92027,1.03159,0.008911,0.008911,0.008911
35,857.975,1.15414,1.44277,1.00765,1.00866,0.58809,0.68575,0.66925,0.50373,0.58739,0.68362,0.66978,0.50837,1.07838,1.25145,0.95466,1.03653,0.008878,0.008878,0.008878
36,881.661,1.12098,1.41643,1.00195,1.00157,0.77002,0.59736,0.66802,0.50573,0.77021,0.59754,0.6675,0.50997,1.05724,1.26791,0.93557,1.03449,0.008845,0.008845,0.008845
37,905.215,1.11023,1.43615,1.0057,1.00287,0.77305,0.62398,0.68028,0.52504,0.7706,0.62386,0.67886,0.50978,1.05042,1.26394,0.933,1.01858,0.008812,0.008812,0.008812
38,928.992,1.12546,1.42478,0.99868,1.00013,0.66702,0.64733,0.67473,0.5202,0.66317,0.64348,0.67256,0.51265,1.07141,1.24761,0.97156,1.03898,0.008779,0.008779,0.008779
39,952.957,1.12565,1.42397,1.00835,1.00352,0.76244,0.61008,0.6596,0.50014,0.76703,0.60298,0.65619,0.49741,1.06718,1.27133,0.94039,1.01128,0.008746,0.008746,0.008746
40,976.769,1.10829,1.414,0.99913,1.00383,0.57737,0.72752,0.6695,0.52125,0.58724,0.7248,0.67073,0.51381,1.0316,1.26955,0.93386,1.01949,0.008713,0.008713,0.008713
41,1000.68,1.11488,1.4054,1.00487,1.00203,0.53241,0.73976,0.67457,0.52091,0.53062,0.7349,0.67281,0.51842,1.02331,1.24857,0.93542,1.00735,0.00868,0.00868,0.00868
42,1024.36,1.09857,1.40856,0.98126,0.99328,0.57734,0.71855,0.67238,0.51483,0.57838,0.72042,0.67523,0.52149,1.03938,1.24943,0.92464,1.02704,0.008647,0.008647,0.008647
43,1048.12,1.10991,1.41903,0.97895,0.99407,0.62986,0.64583,0.67015,0.52386,0.63134,0.64847,0.67307,0.52252,1.01081,1.25479,0.93312,1.00473,0.008614,0.008614,0.008614
44,1072.17,1.1137,1.41922,0.98692,0.99751,0.54449,0.67852,0.65591,0.47449,0.54361,0.64413,0.65476,0.47173,1.10006,1.30962,1.02188,1.08897,0.008581,0.008581,0.008581
45,1095.84,1.1183,1.40466,0.99315,1.00208,0.61662,0.69504,0.68138,0.5296,0.61612,0.69543,0.6825,0.52168,1.04039,1.25825,0.94069,1.02315,0.008548,0.008548,0.008548
46,1120.21,1.10382,1.38194,0.97771,0.99585,0.54649,0.72449,0.67119,0.51652,0.54225,0.72235,0.66893,0.51286,1.05115,1.24461,0.98888,1.01361,0.008515,0.008515,0.008515
47,1143.79,1.0942,1.40723,0.98424,0.99035,0.59272,0.70507,0.67364,0.52827,0.59195,0.70447,0.67619,0.51548,0.99292,1.23091,0.94363,1.00993,0.008482,0.008482,0.008482
48,1167.22,1.1072,1.42099,0.99109,0.99542,0.57419,0.68578,0.66629,0.51419,0.57533,0.68554,0.66171,0.50346,1.02061,1.24795,0.93657,1.01514,0.008449,0.008449,0.008449
49,1191.35,1.10396,1.39742,0.9663,0.99531,0.5816,0.73044,0.68899,0.53685,0.58328,0.72934,0.688,0.52725,1.02192,1.216,0.91652,1.01019,0.008416,0.008416,0.008416
50,1215.07,1.10858,1.43153,0.95936,0.98623,0.5743,0.68367,0.67894,0.52616,0.57173,0.68099,0.67427,0.50281,1.04335,1.2626,0.94558,1.02006,0.008383,0.008383,0.008383
51,1238.53,1.0895,1.39591,0.96739,0.99133,0.54002,0.72156,0.67504,0.5311,0.53899,0.72068,0.67447,0.5238,1.00247,1.21466,0.8889,1.004,0.00835,0.00835,0.00835
52,1262.77,1.09765,1.42582,0.95932,0.99232,0.85923,0.57022,0.66009,0.50601,0.86218,0.5671,0.65949,0.50944,1.01888,1.23724,0.9235,1.01006,0.008317,0.008317,0.008317
53,1287.19,1.08164,1.38008,0.96333,0.98722,0.53659,0.68478,0.66404,0.50006,0.53675,0.68474,0.6656,0.5024,1.03105,1.22451,0.9516,1.0157,0.008284,0.008284,0.008284
54,1311.03,1.11034,1.41691,0.97309,0.99633,0.57109,0.72474,0.6763,0.51392,0.56799,0.72209,0.67839,0.519,1.03921,1.21651,0.9471,1.02574,0.008251,0.008251,0.008251
55,1334.95,1.1003,1.40345,0.98192,0.99703,0.56977,0.6927,0.67226,0.51601,0.57246,0.69263,0.67432,0.52397,1.01163,1.22009,0.89636,1.00857,0.008218,0.008218,0.008218
56,1358.47,1.08067,1.39023,0.9593,0.98857,0.56334,0.72252,0.67564,0.53486,0.55973,0.71803,0.67413,0.51688,1.00581,1.22024,0.90067,1.00029,0.008185,0.008185,0.008185
57,1382.27,1.10172,1.4143,0.96103,0.99283,0.80506,0.60425,0.68796,0.5437,0.83666,0.58119,0.68864,0.52201,0.99599,1.21051,0.87998,1.00452,0.008152,0.008152,0.008152
58,1405.91,1.09852,1.43779,0.95988,0.99085,0.58323,0.73054,0.68844,0.53923,0.57859,0.72412,0.68564,0.52053,1.0125,1.23036,0.90542,0.99975,0.008119,0.008119,0.008119
