epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1118.57,1.16211,1.48675,1.01913,1.02483,0.52451,0.67631,0.65867,0.47777,0.52102,0.67506,0.65565,0.49704,1.1498,1.31942,0.99457,1.08223,0.009043,0.009043,0.009043
31,1155.8,1.14201,1.42417,1.02318,1.01991,0.72248,0.59372,0.66242,0.51084,0.71991,0.59114,0.66013,0.49925,1.04454,1.25278,0.95517,1.03707,0.00901,0.00901,0.00901
32,1193.08,1.11746,1.44984,1.00025,1.00928,0.55817,0.65521,0.63731,0.48399,0.55559,0.65056,0.63291,0.47586,1.06345,1.27583,1.05386,1.02628,0.008977,0.008977,0.008977
33,1230.8,1.12329,1.41579,1.00342,1.01397,0.5502,0.68546,0.67478,0.50107,0.55038,0.68645,0.67486,0.50595,1.07649,1.27047,0.96313,1.04702,0.008944,0.008944,0.008944
34,1268.24,1.12252,1.44072,0.99077,1.01203,0.49823,0.65759,0.64695,0.48897,0.50513,0.65365,0.6433,0.49538,1.05867,1.27416,0.98395,1.02796,0.008911,0.008911,0.008911
35,1305.36,1.14699,1.45522,1.00244,1.01289,0.52901,0.71077,0.67258,0.51168,0.52063,0.69476,0.6645,0.50848,1.05157,1.24215,0.94625,1.04682,0.008878,0.008878,0.008878
36,1343.17,1.10755,1.41597,0.98567,1.00269,0.76385,0.63311,0.67042,0.50932,0.76193,0.62567,0.6692,0.50806,1.0201,1.26098,0.92652,1.01963,0.008845,0.008845,0.008845
37,1381.14,1.1043,1.42193,0.99651,1.00626,0.80273,0.6031,0.67319,0.51854,0.80416,0.59933,0.67397,0.52025,1.05193,1.26124,0.96307,1.02917,0.008812,0.008812,0.008812
38,1418.97,1.10783,1.40712,0.98399,1.001,0.60005,0.68502,0.65986,0.50865,0.59815,0.68352,0.65704,0.50886,1.04581,1.22296,0.98343,1.02665,0.008779,0.008779,0.008779
39,1457.04,1.11198,1.41782,0.99378,1.00552,0.52131,0.67401,0.64879,0.4909,0.50034,0.66089,0.64716,0.48298,1.06922,1.30317,0.97543,1.03649,0.008746,0.008746,0.008746
40,1494.66,1.0997,1.41607,0.97966,1.00769,0.53954,0.70983,0.67422,0.50511,0.55423,0.68773,0.66758,0.50384,1.05875,1.25205,0.93474,1.0346,0.008713,0.008713,0.008713
41,1532.03,1.10434,1.38826,0.99118,1.00287,0.51831,0.70457,0.66667,0.51628,0.51558,0.70216,0.66568,0.50747,1.01727,1.22846,0.93516,1.00764,0.00868,0.00868,0.00868
42,1568.83,1.09267,1.4061,0.97073,0.9992,0.57279,0.7322,0.65827,0.51055,0.57184,0.73141,0.65726,0.50535,1.05204,1.24933,0.94093,1.01934,0.008647,0.008647,0.008647
43,1605.4,1.10575,1.41954,0.9715,0.99877,0.60181,0.71891,0.68144,0.53338,0.60196,0.71835,0.67977,0.51884,1.02996,1.22798,0.90209,1.02563,0.008614,0.008614,0.008614
