epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2319.87,1.12612,1.48381,0.99468,1.04936,0.80249,0.59702,0.64887,0.49934,0.80525,0.59944,0.65054,0.49682,1.05481,1.28092,0.93232,1.06658,0.009043,0.009043,0.009043
31,2393.45,1.11546,1.45076,0.99758,1.03965,0.81657,0.56534,0.67798,0.52756,0.80135,0.56908,0.67296,0.49728,1.06228,1.26464,0.94354,1.04803,0.00901,0.00901,0.00901
32,2472.22,1.10083,1.45512,0.97045,1.03597,0.55,0.68085,0.65485,0.50382,0.57877,0.64704,0.65,0.48213,1.06228,1.28854,0.96259,1.06296,0.008977,0.008977,0.008977
33,2547.91,1.10748,1.43252,0.98224,1.04387,0.58324,0.6657,0.66856,0.5204,0.58173,0.66675,0.66836,0.51334,1.02654,1.23785,0.93907,1.05377,0.008944,0.008944,0.008944
34,2626.68,1.09742,1.43525,0.96337,1.03447,0.60894,0.63686,0.66306,0.49563,0.60677,0.63507,0.66392,0.50014,1.08991,1.25974,0.95172,1.07591,0.008911,0.008911,0.008911
35,2704.64,1.11399,1.44939,0.9737,1.04052,0.56739,0.65399,0.67406,0.51042,0.61568,0.60775,0.66639,0.50924,1.04503,1.25312,0.9162,1.06525,0.008878,0.008878,0.008878
36,2780.66,1.08105,1.4181,0.96137,1.02989,0.56651,0.66404,0.66368,0.50924,0.56636,0.6606,0.66265,0.50947,1.04436,1.28893,0.93448,1.05902,0.008845,0.008845,0.008845
37,2858.45,1.07892,1.42824,0.97231,1.03478,0.61388,0.67801,0.66554,0.50943,0.61385,0.67704,0.66659,0.50705,1.05123,1.29444,0.95778,1.0729,0.008812,0.008812,0.008812
38,2938.25,1.08296,1.40903,0.96382,1.02719,0.62723,0.6763,0.68058,0.52428,0.61444,0.66087,0.66329,0.50013,1.01809,1.26845,0.94194,1.06087,0.008779,0.008779,0.008779
39,3016.28,1.08627,1.41212,0.96795,1.03112,0.56202,0.68521,0.66651,0.5191,0.55968,0.6828,0.66454,0.50004,1.00863,1.26626,0.91538,1.04377,0.008746,0.008746,0.008746
40,3089.04,1.07247,1.4123,0.95197,1.0328,0.63398,0.70308,0.67528,0.52092,0.63271,0.70202,0.67401,0.51719,1.01704,1.26461,0.91275,1.05602,0.008713,0.008713,0.008713
41,3169.94,1.0727,1.38698,0.96027,1.02808,0.60414,0.64749,0.65533,0.51159,0.59895,0.64217,0.65129,0.5024,0.99272,1.24138,0.92456,1.03804,0.00868,0.00868,0.00868
42,3242.86,1.07342,1.40016,0.94631,1.03062,0.63443,0.68219,0.68016,0.53536,0.63111,0.68724,0.68263,0.52636,1.02583,1.24048,0.90779,1.05691,0.008647,0.008647,0.008647
43,3321.16,1.08006,1.42063,0.953,1.02628,0.60028,0.66959,0.6732,0.51862,0.59977,0.66951,0.67367,0.51209,1.03456,1.25158,0.89397,1.0548,0.008614,0.008614,0.008614
44,3402.12,1.07975,1.40763,0.94557,1.02624,0.61903,0.66613,0.67589,0.52282,0.61454,0.66109,0.67127,0.50609,1.02133,1.28085,0.8949,1.05116,0.008581,0.008581,0.008581
45,3476.95,1.08129,1.40097,0.95177,1.02911,0.66052,0.62421,0.67543,0.53574,0.66034,0.62312,0.67679,0.52021,1.00789,1.23764,0.89933,1.03783,0.008548,0.008548,0.008548
46,3557.23,1.06518,1.36894,0.95077,1.02518,0.57305,0.69154,0.67539,0.51679,0.57174,0.68996,0.67216,0.50412,1.03755,1.24846,1.00058,1.0454,0.008515,0.008515,0.008515
47,3637.51,1.06003,1.3986,0.95224,1.01945,0.60587,0.67714,0.68334,0.53622,0.61246,0.68857,0.68174,0.51769,0.989,1.26994,0.90275,1.04562,0.008482,0.008482,0.008482
48,3709.44,1.07316,1.41903,0.95007,1.02213,0.60505,0.69477,0.68002,0.53394,0.60769,0.69316,0.67726,0.51857,1.00453,1.2279,0.91965,1.035,0.008449,0.008449,0.008449
49,3787.06,1.06788,1.39978,0.93311,1.01947,0.61046,0.67748,0.67752,0.53234,0.61321,0.68061,0.67891,0.5235,0.98315,1.23043,0.91535,1.03511,0.008416,0.008416,0.008416
50,3867.72,1.07963,1.42554,0.93289,1.01152,0.50426,0.63731,0.65741,0.51334,0.50786,0.64179,0.65932,0.49408,1.00191,1.23577,0.97005,1.04068,0.008383,0.008383,0.008383
51,3944.05,1.05415,1.39685,0.93403,1.01606,0.60868,0.68999,0.67225,0.52955,0.60749,0.68942,0.67194,0.51799,0.99395,1.23748,0.93436,1.03906,0.00835,0.00835,0.00835
52,4020.89,1.07421,1.41951,0.93877,1.01858,0.78665,0.61963,0.66678,0.52237,0.78391,0.6173,0.66275,0.50583,0.96841,1.22046,0.90449,1.02808,0.008317,0.008317,0.008317
53,4098.38,1.04965,1.37144,0.93624,1.01147,0.57973,0.64417,0.64989,0.50281,0.5793,0.64456,0.64957,0.49422,1.00847,1.2335,0.91825,1.05839,0.008284,0.008284,0.008284
54,4172.46,1.07279,1.40623,0.94347,1.01996,0.57788,0.70973,0.68205,0.53282,0.57497,0.70469,0.67827,0.51567,1.00547,1.24836,0.93321,1.02787,0.008251,0.008251,0.008251
55,4245.72,1.05938,1.39981,0.94205,1.01608,0.64421,0.64232,0.68223,0.54012,0.64588,0.64147,0.6815,0.52132,0.9622,1.24396,0.89278,1.01682,0.008218,0.008218,0.008218
56,4324.6,1.05176,1.38625,0.93112,1.0108,0.60345,0.67982,0.67824,0.53696,0.60483,0.67482,0.67696,0.51779,0.97494,1.21585,0.8641,1.02342,0.008185,0.008185,0.008185
57,4398.59,1.06547,1.40867,0.9286,1.01508,0.79042,0.6045,0.69094,0.54566,0.79012,0.60472,0.69021,0.519,0.96723,1.23092,0.89734,1.02116,0.008152,0.008152,0.008152
58,4477.06,1.07256,1.42372,0.94834,1.0173,0.56532,0.72739,0.69098,0.54491,0.5647,0.72633,0.68978,0.51945,0.98047,1.22732,0.9137,1.02761,0.008119,0.008119,0.008119
59,4559.71,1.0369,1.3759,0.91914,1.00481,0.59253,0.72246,0.68491,0.54879,0.58787,0.7167,0.68087,0.52726,0.95346,1.19696,0.87948,1.00972,0.008086,0.008086,0.008086
60,4637.2,1.06813,1.42512,0.92202,1.01217,0.55341,0.76249,0.69392,0.54635,0.55195,0.76053,0.69453,0.52848,0.96668,1.23096,0.87734,1.01676,0.008053,0.008053,0.008053
61,4716.79,1.0489,1.37306,0.94518,1.01123,0.59626,0.68324,0.6831,0.54468,0.59377,0.68058,0.67986,0.5238,0.96248,1.22298,0.88482,1.01048,0.00802,0.00802,0.00802
62,4796.7,1.05504,1.37365,0.92172,1.01125,0.62195,0.70399,0.68366,0.54314,0.63601,0.68883,0.68426,0.52495,0.99039,1.24008,0.88758,1.0257,0.007987,0.007987,0.007987
63,4870.92,1.05866,1.37094,0.93649,1.00743,0.5188,0.76416,0.68632,0.53836,0.51928,0.77514,0.68433,0.5133,0.98741,1.21347,0.90002,1.0193,0.007954,0.007954,0.007954
64,4950.85,1.04039,1.37774,0.91672,1.00558,0.58655,0.73936,0.68353,0.53937,0.58398,0.73631,0.67962,0.52787,0.98579,1.2322,0.891,1.02031,0.007921,0.007921,0.007921
65,5029.41,1.03369,1.3633,0.92331,1.00456,0.80947,0.61689,0.67571,0.53538,0.54138,0.7102,0.67034,0.5097,0.97487,1.21694,0.88504,1.01854,0.007888,0.007888,0.007888
66,5102.14,1.05845,1.3893,0.93142,1.0042,0.62107,0.69443,0.68101,0.54212,0.61517,0.6905,0.67662,0.52499,0.97215,1.21503,0.88348,1.01988,0.007855,0.007855,0.007855
67,5177.42,1.04628,1.38445,0.91591,1.00228,0.58086,0.74781,0.70163,0.55561,0.58016,0.74404,0.69999,0.53026,0.96514,1.21871,0.86607,1.01546,0.007822,0.007822,0.007822
68,5256.79,1.06177,1.38766,0.93382,1.01208,0.59007,0.68862,0.70325,0.56177,0.58481,0.68604,0.69958,0.52801,0.9546,1.20761,0.90639,1.01365,0.007789,0.007789,0.007789
69,5329.55,1.03695,1.34774,0.92079,1.00415,0.61124,0.67151,0.67665,0.53958,0.60879,0.66845,0.67368,0.52037,0.97003,1.21352,0.87873,1.01612,0.007756,0.007756,0.007756
70,5408.01,1.05257,1.39367,0.92671,1.00414,0.63039,0.66363,0.67953,0.53883,0.63912,0.66148,0.68131,0.51435,0.9582,1.20223,0.89527,1.01399,0.007723,0.007723,0.007723
71,5485.03,1.049,1.39239,0.9092,1.00085,0.59029,0.70065,0.68241,0.54602,0.58696,0.69675,0.68001,0.51864,0.96382,1.19305,0.85074,1.0088,0.00769,0.00769,0.00769
72,5562.16,1.05169,1.37507,0.90786,1.00474,0.65681,0.67793,0.7034,0.55935,0.65336,0.67506,0.70071,0.5253,0.96476,1.20501,0.85167,1.01912,0.007657,0.007657,0.007657
